Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 457480  Y 240944
X 454330  Y 240944
X 463779  Y 240944
X 476377  Y 240944
X 454330  Y 125984
X 457480  Y 125984
X 473228  Y 125984
X 466929  Y 125984
X 476377  Y 125984
X 470078  Y 125984
X 463779  Y 125984
X 454330  Y 122834
X 470078  Y 122834
X 463779  Y 122834
X 466929  Y 122834
X 473228  Y 122834
X 476377  Y 122834
X 457480  Y 122834
X 454330  Y 119685
X 463779  Y 119685
X 457480  Y 119685
X 466929  Y 119685
X 470078  Y 119685
X 473228  Y 119685
X 476377  Y 119685
X 454330  Y 116535
X 476377  Y 116535
X 463779  Y 116535
X 466929  Y 116535
X 457480  Y 116535
X 470078  Y 116535
X 473228  Y 116535
X 457480  Y 113385
X 470078  Y 113385
X 473228  Y 113385
X 476377  Y 113385
X 463779  Y 113385
X 466929  Y 113385
X 454330  Y 113385
X 457480  Y 107086
X 463779  Y 107086
X 466929  Y 107086
X 454330  Y 107086
X 470078  Y 107086
X 473228  Y 107086
X 476377  Y 107086
X 470078  Y 103937
X 457480  Y 103937
X 476377  Y 103937
X 463779  Y 103937
X 454330  Y 103937
X 473228  Y 103937
X 466929  Y 103937
X 476377  Y 100787
X 470078  Y 100787
X 473228  Y 100787
X 454330  Y 100787
X 463779  Y 100787
X 466929  Y 100787
X 457480  Y 100787
X 476377  Y 97637
X 463779  Y 97637
X 473228  Y 97637
X 457480  Y 97637
X 466929  Y 97637
X 454330  Y 97637
X 470078  Y 97637
X 470078  Y 94488
X 463779  Y 94488
X 457480  Y 94488
X 454330  Y 94488
X 466929  Y 94488
X 473228  Y 94488
X 476377  Y 94488
X 466929  Y 91338
X 457480  Y 91338
X 470078  Y 91338
X 463779  Y 91338
X 473228  Y 91338
X 454330  Y 91338
X 476377  Y 91338
X 479527  Y 94488
X 479527  Y 97637
X 479527  Y 100787
X 479527  Y 103937
X 479527  Y 107086
X 479527  Y 113385
X 479517  Y 116525
X 479527  Y 122834
X 495669  Y 168110
X 479527  Y 244094
X 479527  Y 247244
X 479527  Y 250393
X 479527  Y 253543
X 479527  Y 256692
X 479527  Y 262992
X 479517  Y 266132
X 479527  Y 272440
X 500000  Y 289763
X 498425  Y 309448
X 492913  Y 309448
X 487401  Y 309547
X 495669  Y 317716
X 487696  Y 325295
X 479527  Y 393700
X 479527  Y 396850
X 479527  Y 400000
X 479527  Y 403149
X 479527  Y 406299
X 479527  Y 412598
X 479527  Y 415748
X 479527  Y 418897
X 479527  Y 422047
X 487401  Y 458661
X 492913  Y 458661
X 498425  Y 458661
X 551968  Y 500000
X 551968  Y 496850
X 551968  Y 493700
X 551968  Y 490551
X 551968  Y 487401
X 551968  Y 481102
X 551978  Y 477962
X 551968  Y 471653
X 533070  Y 435433
X 544094  Y 435433
X 538582  Y 435433
