Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 775196  Y 139370
X 771653  Y 139763
X 756692  Y 144881
X 766929  Y 149606
X 733070  Y 151968
X 740157  Y 157480
X 757480  Y 163779
X 777952  Y 163779
X 781102  Y 164566
X 766929  Y 169291
X 800000  Y 169291
X 788976  Y 162992
X 792913  Y 150984
X 811023  Y 149606
X 811023  Y 142519
X 801574  Y 138582
X 785039  Y 122834
X 792863  Y 122834
X 800787  Y 112736
X 820472  Y 102362
X 830708  Y 71653
X 829133  Y 61417
X 830363  Y -5623
X 830363  Y -17494
X 830363  Y -29365
X 830363  Y -41237
X 787822  Y -53108
X 825989  Y -55607
X 797873  Y -55607
X 830000  Y -64979
X 792716  Y -74976
X 815992  Y -83098
X 782716  Y -135295
X 824740  Y -179943
X 859980  Y -121299
X 869000  Y -93618
X 855003  Y -89885
X 837750  Y -59981
X 877848  Y -45610
X 865977  Y -45610
X 872225  Y -45610
X 840985  Y -41237
X 842234  Y -35613
X 872047  Y -31889
X 866141  Y -31889
X 858267  Y -29921
X 840360  Y -29365
X 842234  Y -23742
X 840360  Y -17494
X 842234  Y -11871
X 840985  Y -5905
X 842234  Y 0
X 832283  Y 77952
X 835433  Y 79527
X 838582  Y 81889
X 839370  Y 90551
X 879133  Y 149212
X 832283  Y 162992
X 855905  Y 171653
X 906299  Y 118897
X 896850  Y 118110
X 918110  Y 108661
X 921259  Y 105511
X 894488  Y 23807
X 901590  Y -1874
X 901590  Y -13745
X 901590  Y -25616
X 913462  Y -31240
X 901590  Y -37488
X 913462  Y -43111
X 1019678  Y -179943
X 1019685  Y -174015
X 1013740  Y -159842
X 993409  Y -135295
X 1013740  Y -122834
X 1029133  Y -22047
X 1013740  Y -19685
X 1013740  Y 15748
X 1023622  Y 23807
X 1029015  Y 115748
X 1013740  Y 118110
X 1023740  Y 118110
X 1013740  Y 153543
X 1005118  Y 177559
X 1019224  Y 180314
X 1005118  Y 190157
X 1053740  Y 153543
X 1033740  Y 153543
X 1033858  Y 118110
X 1053740  Y 118110
X 1066141  Y 87401
X 1078740  Y 85039
X 1063779  Y 84251
X 1073740  Y 77952
X 1043740  Y 75590
X 1078740  Y -55607
X 1069055  Y -59981
X 1053740  Y -74976
X 1043740  Y -79974
X 1059041  Y -117462
X 1063740  Y -153543
X 1046545  Y -177444
X 1080314  Y -179527
X 1062165  Y -184316
X 1046545  Y -188065
X 1060629  Y -191375
X 1050015  Y -195322
X 1099212  Y -199212
X 1099212  Y -192913
X 1116437  Y -191830
X 1101377  Y -173228
X 1125984  Y -108661
X 1083740  Y -107086
X 1083740  Y -64979
X 1099212  Y -46860
X 1096529  Y -39987
X 1091531  Y -34364
X 1088188  Y -28740
X 1088976  Y 84251
X 1083740  Y 87401
X 1133070  Y 114960
X 1161417  Y 114960
X 1166929  Y -22834
X 1132283  Y -22834
X 1144094  Y -108661
X 1143700  Y -167716
X 1153543  Y -186220
X 1143700  Y -186220
X 1133759  Y -186220
X 1179527  Y -189413
X 1196850  Y -191338
X 1200000  Y -185039
X 1188188  Y -179527
X 1226885  Y -156444
X 1226885  Y -103570
X 1226885  Y -19283

Drill: .02  Tool: 2  Feed: 197  Speed: 550
X 55370  Y -202174
X 33068  Y -190879
